Horizon;Uncertainty;Windows;Instruments;Planning Goals;Planning Attempts;Planning Time (secs);Execution Attempts;Execution Time (secs);Exogenous Events;Contingency Handling Time (secs);Goal Status
100;10;1;1;1;1;0;1;100;0;0;FINISHED
100;10;1;1;2;1;0;1;100;0;0;FINISHED
100;10;1;1;3;1;0;1;100;0;0;FINISHED
100;10;1;1;4;1;0;1;100;0;0;FINISHED
100;10;1;1;5;1;0;1;100;0;0;FINISHED
100;10;1;2;1;1;0;1;101;0;0;FINISHED
100;10;1;2;2;1;0;1;103;0;0;FINISHED
100;10;1;2;3;2;60;1;39;1;60;ABORTED
100;10;1;2;4;1;0;1;103;0;0;FINISHED
100;10;1;2;5;2;60;1;39;1;60;ABORTED
100;10;1;3;1;1;0;1;101;0;0;FINISHED
100;10;1;3;2;1;60;0;0;0;0;ABORTED
100;10;1;3;3;1;60;0;0;0;0;ABORTED
100;10;1;3;4;1;60;0;0;0;0;ABORTED
100;10;1;3;5;1;60;0;0;0;0;ABORTED
100;10;2;1;1;2;0;2;72;1;0;FINISHED
100;10;2;1;2;1;0;1;101;0;0;FINISHED
100;10;2;1;3;1;0;1;101;0;0;FINISHED
100;10;2;1;4;1;0;1;101;0;0;FINISHED
100;10;2;1;5;1;0;1;101;0;0;FINISHED
100;10;2;2;1;1;0;1;101;0;0;FINISHED
100;10;2;2;2;2;61;1;65;1;60;ABORTED
100;10;2;2;3;2;61;1;49;1;60;ABORTED
100;10;2;2;4;2;61;1;49;1;60;ABORTED
100;10;2;2;5;2;61;1;48;1;60;ABORTED
100;10;2;3;1;1;0;1;102;0;0;FINISHED
100;10;2;3;2;1;60;0;0;0;0;ABORTED
100;10;2;3;3;1;60;0;0;0;0;ABORTED
100;10;2;3;4;1;60;0;0;0;0;ABORTED
100;10;2;3;5;1;60;0;0;0;0;ABORTED
100;10;3;1;1;2;0;2;72;1;0;FINISHED
100;10;3;1;2;1;0;1;101;0;0;FINISHED
100;10;3;1;3;1;0;1;101;0;0;FINISHED
100;10;3;1;4;1;0;1;101;0;0;FINISHED
100;10;3;1;5;1;0;1;101;0;0;FINISHED
100;10;3;2;1;1;0;1;101;0;0;FINISHED
100;10;3;2;2;1;60;0;0;0;0;ABORTED
100;10;3;2;3;1;60;0;0;0;0;ABORTED
100;10;3;2;4;1;60;0;0;0;0;ABORTED
100;10;3;2;5;1;60;0;0;0;0;ABORTED
100;10;3;3;1;2;60;1;33;1;60;ABORTED
100;10;3;3;2;1;60;0;0;0;0;ABORTED
100;10;3;3;3;1;60;0;0;0;0;ABORTED
100;10;3;3;4;1;60;0;0;0;0;ABORTED
100;10;3;3;5;1;60;0;0;0;0;ABORTED
100;20;1;1;1;1;0;1;101;0;0;FINISHED
100;20;1;1;2;1;0;1;101;0;0;FINISHED
100;20;1;1;3;1;0;1;101;0;0;FINISHED
100;20;1;1;4;1;0;1;101;0;0;FINISHED
100;20;1;1;5;1;0;1;101;0;0;FINISHED
100;20;1;2;1;1;0;1;101;0;0;FINISHED
100;20;1;2;2;2;60;1;59;1;60;ABORTED
100;20;1;2;3;1;0;1;103;0;0;FINISHED
100;20;1;2;4;2;60;1;55;1;60;ABORTED
100;20;1;2;5;2;60;1;58;1;60;ABORTED
100;20;1;3;1;1;0;1;101;0;0;FINISHED
100;20;1;3;2;1;60;0;0;0;0;ABORTED
100;20;1;3;3;1;60;0;0;0;0;ABORTED
100;20;1;3;4;1;60;0;0;0;0;ABORTED
100;20;1;3;5;1;60;0;0;0;0;ABORTED
100;20;2;1;1;1;0;1;101;0;0;FINISHED
100;20;2;1;2;1;0;1;101;0;0;FINISHED
100;20;2;1;3;1;0;1;101;0;0;FINISHED
100;20;2;1;4;1;0;1;101;0;0;FINISHED
100;20;2;1;5;1;0;1;101;0;0;FINISHED
100;20;2;2;1;1;0;1;101;0;0;FINISHED
100;20;2;2;2;2;61;1;51;1;60;ABORTED
100;20;2;2;3;2;61;1;54;1;60;ABORTED
100;20;2;2;4;2;61;1;56;1;60;ABORTED
100;20;2;2;5;2;61;1;38;1;60;ABORTED
100;20;2;3;1;2;60;1;40;1;60;ABORTED
100;20;2;3;2;1;60;0;0;0;0;ABORTED
100;20;2;3;3;1;60;0;0;0;0;ABORTED
100;20;2;3;4;1;60;0;0;0;0;ABORTED
100;20;2;3;5;1;60;0;0;0;0;ABORTED
100;20;3;1;1;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;20;3;1;2;1;0;1;101;0;0;FINISHED
100;20;3;1;3;1;0;1;101;0;0;FINISHED
100;20;3;1;4;1;0;1;101;0;0;FINISHED
100;20;3;1;5;1;0;1;101;0;0;FINISHED
100;20;3;2;1;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;20;3;2;2;1;60;0;0;0;0;ABORTED
100;20;3;2;3;1;60;0;0;0;0;ABORTED
100;20;3;2;4;1;60;0;0;0;0;ABORTED
100;20;3;2;5;1;60;0;0;0;0;ABORTED
100;20;3;3;1;2;60;1;36;1;60;ABORTED
100;20;3;3;2;1;60;0;0;0;0;ABORTED
100;20;3;3;3;1;60;0;0;0;0;ABORTED
100;20;3;3;4;1;60;0;0;0;0;ABORTED
100;20;3;3;5;1;60;0;0;0;0;ABORTED
100;30;1;1;1;1;0;1;101;0;0;FINISHED
100;30;1;1;2;1;0;1;101;0;0;FINISHED
100;30;1;1;3;1;0;1;101;0;0;FINISHED
100;30;1;1;4;1;0;1;101;0;0;FINISHED
100;30;1;1;5;1;0;1;101;0;0;FINISHED
100;30;1;2;1;2;22;2;72;1;22;FINISHED
100;30;1;2;2;2;60;1;92;1;60;ABORTED
100;30;1;2;3;2;60;1;60;1;60;ABORTED
100;30;1;2;4;2;60;1;73;1;60;ABORTED
100;30;1;2;5;2;60;1;62;1;60;ABORTED
100;30;1;3;1;1;0;1;101;0;0;FINISHED
100;30;1;3;2;1;60;0;0;0;0;ABORTED
100;30;1;3;3;1;60;0;0;0;0;ABORTED
100;30;1;3;4;1;60;0;0;0;0;ABORTED
100;30;1;3;5;1;60;0;0;0;0;ABORTED
100;30;2;1;1;execution error;execution error;execution error;execution error;execution error;execution error;execution error
100;30;2;1;2;1;0;1;101;0;0;FINISHED
100;30;2;1;3;1;0;1;101;0;0;FINISHED
100;30;2;1;4;1;0;1;101;0;0;FINISHED
100;30;2;1;5;1;0;1;101;0;0;FINISHED
100;30;2;2;1;1;0;1;101;0;0;FINISHED
100;30;2;2;2;2;61;1;61;1;60;ABORTED
100;30;2;2;3;2;61;1;70;1;60;ABORTED
100;30;2;2;4;1;1;1;103;0;0;FINISHED
100;30;2;2;5;2;61;1;67;1;60;ABORTED
100;30;2;3;1;1;0;1;102;0;0;FINISHED
100;30;2;3;2;1;60;0;0;0;0;ABORTED
100;30;2;3;3;1;60;0;0;0;0;ABORTED
100;30;2;3;4;1;60;0;0;0;0;ABORTED
100;30;2;3;5;1;60;0;0;0;0;ABORTED
100;30;3;1;1;1;0;1;101;0;0;FINISHED
100;30;3;1;2;1;0;1;101;0;0;FINISHED
100;30;3;1;3;1;0;1;101;0;0;FINISHED
100;30;3;1;4;1;0;1;101;0;0;FINISHED
100;30;3;1;5;1;0;1;101;0;0;FINISHED
100;30;3;2;1;1;0;1;101;0;0;FINISHED
100;30;3;2;2;1;60;0;0;0;0;ABORTED
100;30;3;2;3;1;60;0;0;0;0;ABORTED
100;30;3;2;4;1;60;0;0;0;0;ABORTED
100;30;3;2;5;1;60;0;0;0;0;ABORTED
100;30;3;3;1;2;60;1;35;1;60;ABORTED
100;30;3;3;2;1;60;0;0;0;0;ABORTED
100;30;3;3;3;1;60;0;0;0;0;ABORTED
100;30;3;3;4;1;60;0;0;0;0;ABORTED
100;30;3;3;5;1;60;0;0;0;0;ABORTED
